,SP500,logSP500
12/20/65,91.65,-0.002032841
12/21/65,92.01,0.001702561
12/22/65,92.29,0.001319615
12/23/65,92.19,-0.000470831
12/24/65,92.19,0
12/27/65,91.52,-0.003167804
12/28/65,91.53,4.74509E-05
12/29/65,91.81,0.001326525
12/30/65,92.25,0.002076387
12/31/65,92.43,0.000846578
1/3/66,92.18,-0.001176249
1/4/66,92.26,0.000376746
1/5/66,92.85,0.002768458
1/6/66,93.06,0.00098114
1/7/66,93.14,0.000373185
1/10/66,93.33,0.000885032
1/11/66,93.41,0.000372106
1/12/66,93.19,-0.00102406
1/13/66,93.36,0.000791531
1/14/66,93.5,0.000650768
1/17/66,93.77,0.001252305
1/18/66,93.95,0.000832868
1/19/66,93.69,-0.001203545
1/20/66,93.36,-0.001532396
1/21/66,93.47,0.0005114
1/24/66,93.71,0.001113695
1/25/66,93.85,0.000648339
1/26/66,93.7,-0.000694686
1/27/66,93.67,-0.000139071
1/28/66,93.31,-0.001672331
1/31/66,92.88,-0.002005983
2/1/66,92.16,-0.003379741
2/2/66,92.53,0.001740096
2/3/66,92.65,0.000562861
2/4/66,93.26,0.002849987
2/7/66,93.59,0.001534036
2/8/66,93.55,-0.000185655
2/9/66,94.06,0.002361183
2/10/66,93.83,-0.001063258
2/11/66,93.81,-9.25804E-05
2/14/66,93.65,-0.000741354
2/15/66,93.17,-0.002231686
2/16/66,93.16,-4.66156E-05
2/17/66,92.66,-0.002337184
2/18/66,92.41,-0.001173326
2/21/66,91.87,-0.002545254
2/22/66,91.87,0
2/23/66,91.48,-0.00184756
2/24/66,90.89,-0.002810053
2/25/66,91.14,0.001192921
2/28/66,91.22,0.000381044
3/1/66,90.06,-0.005558125
3/2/66,89.15,-0.004410595
3/3/66,89.47,0.00155609
3/4/66,89.24,-0.001117876
3/7/66,88.04,-0.005879528
3/8/66,88.18,0.000690061
3/9/66,88.96,0.00382468
3/10/66,88.96,0
3/11/66,88.85,-0.000537342
3/14/66,87.85,-0.004915666
3/15/66,87.35,-0.002478857
3/16/66,87.86,0.00252829
3/17/66,88.17,0.001529642
3/18/66,88.53,0.001769623
3/21/66,89.2,0.00327439
3/22/66,89.46,0.001264039
3/23/66,89.13,-0.001604987
3/24/66,89.29,0.000778916
3/25/66,89.54,0.001214267
3/28/66,89.62,0.00038785
3/29/66,89.27,-0.001699405
3/30/66,88.78,-0.002390394
3/31/66,89.23,0.002195752
4/1/66,89.94,0.00344199
4/4/66,90.76,0.003941604
4/5/66,91.31,0.002623856
4/6/66,91.56,0.001187441
4/7/66,91.76,0.000947621
4/8/66,91.76,0
4/11/66,91.79,0.000141965
4/12/66,91.45,-0.00161166
4/13/66,91.54,0.000427198
4/14/66,91.87,0.001562808
4/15/66,91.99,0.000566902
4/18/66,91.58,-0.00193998
4/19/66,91.57,-4.7425E-05
4/20/66,92.08,0.002412096
4/21/66,92.42,0.001600654
4/22/66,92.27,-0.000705444
4/25/66,92.08,-0.00089521
4/26/66,91.99,-0.000424692
4/27/66,91.76,-0.001087214
4/28/66,91.13,-0.002992035
4/29/66,91.06,-0.000333724
5/2/66,90.9,-0.000763763
5/3/66,89.85,-0.005045802
5/4/66,89.39,-0.002229144
5/5/66,87.93,-0.007151864
5/6/66,87.84,-0.000444746
5/9/66,86.32,-0.007580895
5/10/66,87.08,0.003806989
5/11/66,87.23,0.000747452
5/12/66,86.23,-0.005007486
5/13/66,85.47,-0.003844682
5/16/66,84.41,-0.005419804
5/17/66,83.63,-0.004031803
5/18/66,85.12,0.007669518
5/19/66,85.02,-0.000510514
5/20/66,85.43,0.002089306
5/23/66,86.2,0.003896859
5/24/66,86.77,0.002862332
5/25/66,87.07,0.001498947
5/26/66,87.07,0
5/27/66,87.33,0.001294916
5/30/66,87.33,0
5/31/66,86.13,-0.006009013
6/1/66,86.1,-0.000151296
6/2/66,85.96,-0.000706745
6/3/66,86.06,0.000504935
6/6/66,85.42,-0.003241775
6/7/66,84.83,-0.0030101
6/8/66,84.93,0.000511657
6/9/66,85.5,0.002904991
6/10/66,86.44,0.004748643
6/13/66,86.83,0.001955043
6/14/66,87.07,0.001198743
6/15/66,86.73,-0.001699198
6/16/66,86.47,-0.001303887
6/17/66,86.51,0.000200853
6/20/66,86.48,-0.000150631
6/21/66,86.71,0.001153505
6/22/66,86.85,0.000700637
6/23/66,86.5,-0.001753715
6/24/66,86.58,0.000401474
6/27/66,86.08,-0.002515323
6/28/66,85.67,-0.002073491
6/29/66,84.86,-0.004125739
6/30/66,84.74,-0.000614568
7/1/66,85.61,0.004436037
7/4/66,85.61,0
7/5/66,85.82,0.001064013
7/6/66,87.06,0.006230153
7/7/66,87.38,0.001593378
7/8/66,87.61,0.00114164
7/11/66,87.45,-0.000793867
7/12/66,86.88,-0.002840002
7/13/66,86.3,-0.002909017
7/14/66,86.82,0.002608986
7/15/66,87.08,0.001298639
7/18/66,86.99,-0.00044909
7/19/66,86.33,-0.00330759
7/20/66,85.51,-0.004144834
7/21/66,85.52,5.07858E-05
7/22/66,85.41,-0.00055897
7/25/66,83.83,-0.008109256
7/26/66,83.7,-0.000674008
7/27/66,84.1,0.002070538
7/28/66,83.77,-0.00170748
7/29/66,83.6,-0.000882238
8/1/66,82.31,-0.006753676
8/2/66,82.33,0.000105514
8/3/66,83.15,0.004304138
8/4/66,83.93,0.00405497
8/5/66,84,0.000362063
8/8/66,83.75,-0.00129447
8/9/66,83.49,-0.001350355
8/10/66,83.11,-0.001981179
8/11/66,83.02,-0.000470553
8/12/66,83.17,0.000783972
8/15/66,82.74,-0.002251185
8/16/66,81.63,-0.00586572
8/17/66,81.18,-0.00240075
8/18/66,80.16,-0.005491338
8/19/66,79.62,-0.002935535
8/22/66,78.24,-0.007593331
8/23/66,78.11,-0.000722204
8/24/66,79.07,0.005305101
8/25/66,78.06,-0.005583192
8/26/66,76.41,-0.009278347
8/29/66,74.53,-0.010819078
8/30/66,75.86,0.007681717
8/31/66,77.1,0.00704154
9/1/66,77.7,0.003366641
9/2/66,77.42,-0.001567852
9/5/66,77.42,0
9/6/66,76.96,-0.002588108
9/7/66,76.34,-0.003512903
9/8/66,76.05,-0.001652937
9/9/66,76.29,0.001368397
9/12/66,77.91,0.009125589
9/13/66,78.32,0.002279474
9/14/66,79.13,0.004468487
9/15/66,80.08,0.005182899
9/16/66,79.99,-0.000488368
9/19/66,79.59,-0.002177192
9/20/66,79.04,-0.003011573
9/21/66,77.71,-0.007370023
9/22/66,77.94,0.001283492
9/23/66,77.67,-0.001507096
9/26/66,77.86,0.001061094
9/27/66,78.1,0.001336634
9/28/66,77.11,-0.005540331
9/29/66,76.31,-0.00452925
9/30/66,76.56,0.001420471
10/3/66,74.9,-0.009520107
10/4/66,75.1,0.001158119
10/5/66,74.69,-0.002377478
10/6/66,74.05,-0.003737397
10/7/66,73.2,-0.005013982
10/10/66,74.53,0.00782004
10/11/66,74.91,0.002208676
10/12/66,77.04,0.012176477
10/13/66,76.89,-0.000846413
10/14/66,76.6,-0.001641091
10/17/66,77.47,0.004904786
10/18/66,78.68,0.006730795
10/19/66,78.05,-0.003491444
10/20/66,77.84,-0.00117008
10/21/66,78.19,0.001948386
10/24/66,78.42,0.001275625
10/25/66,78.9,0.002650165
10/26/66,79.58,0.003726932
10/27/66,80.23,0.003532857
10/28/66,80.24,5.41278E-05
10/31/66,80.2,-0.000216552
11/1/66,80.81,0.003290738
11/2/66,80.88,0.000376036
11/3/66,80.56,-0.001721685
11/4/66,80.81,0.001345649
11/7/66,80.73,-0.000430154
11/8/66,80.73,0
11/9/66,81.38,0.003482733
11/10/66,81.89,0.002713186
11/11/66,81.94,0.000265089
11/14/66,81.37,-0.003031644
11/15/66,81.69,0.00170458
11/16/66,82.37,0.00360017
11/17/66,81.8,-0.003015762
11/18/66,81.26,-0.002876486
11/21/66,80.09,-0.006298524
11/22/66,79.67,-0.002283476
11/23/66,80.21,0.002933699
11/24/66,80.21,0
11/25/66,80.85,0.003451508
11/28/66,80.71,-0.000752677
11/29/66,80.42,-0.001563279
11/30/66,80.45,0.00016198
12/1/66,80.08,-0.002001984
12/2/66,80.13,0.000271078
12/5/66,80.24,0.000595777
12/6/66,80.84,0.003235385
12/7/66,81.72,0.004702053
12/8/66,82.05,0.001750227
12/9/66,82.14,0.000476113
12/12/66,83,0.004523394
12/13/66,82.73,-0.001415068
12/14/66,82.64,-0.000472716
12/15/66,81.64,-0.005287312
12/16/66,81.58,-0.000319295
12/19/66,81.27,-0.001653441
12/20/66,80.96,-0.00165976
12/21/66,81.38,0.002247186
12/22/66,81.69,0.001651211
12/23/66,81.47,-0.00117118
12/26/66,81.47,0
12/27/66,81,-0.002512697
12/28/66,80.61,-0.002096098
12/29/66,80.37,-0.001294953
12/30/66,80.33,-0.000216201
1/2/67,80.33,0
1/3/67,80.38,0.000270235
1/4/67,80.55,0.000917543
1/5/67,81.6,0.005624614
1/6/67,82.18,0.003075978
1/9/67,82.81,0.003316648
1/10/67,82.81,0
1/11/67,83.47,0.003447629
1/12/67,83.91,0.002283308
1/13/67,84.53,0.003197148
1/16/67,84.31,-0.00113178
1/17/67,85.24,0.004764352
1/18/67,85.79,0.002793227
1/19/67,85.82,0.000151842
1/20/67,86.07,0.001263293
1/23/67,86.39,0.001611671
1/24/67,86.51,0.000602838
1/25/67,85.85,-0.003326013
1/26/67,85.81,-0.000202398
1/27/67,86.16,0.001767788
1/30/67,86.66,0.002512994
1/31/67,86.61,-0.000250646
2/1/67,86.43,-0.000903526
2/2/67,86.73,0.001504833
2/3/67,87.36,0.003143279
2/6/67,87.18,-0.000895761
2/7/67,86.95,-0.001147278
2/8/67,87.72,0.003829037
2/9/67,87.36,-0.001785998
2/10/67,87.49,0.000645791
2/13/67,87.58,0.000446524
2/14/67,88.17,0.0029159
2/15/67,88.27,0.000492286
2/16/67,87.86,-0.002021928
2/17/67,87.89,0.000148266
2/20/67,87.4,-0.002428032
2/21/67,87.34,-0.000298245
2/22/67,87.34,0
2/23/67,87.45,0.000546626
2/24/67,87.41,-0.000198694
2/27/67,86.46,-0.004745889
2/28/67,86.78,0.001604415
3/1/67,87.68,0.004480895
3/2/67,88.16,0.00237104
3/3/67,88.29,0.000639935
3/6/67,88.1,-0.000935608
3/7/67,88.16,0.000295673
3/8/67,88.27,0.000541545
3/9/67,88.53,0.001277338
3/10/67,88.89,0.001762442
3/13/67,88.43,-0.002253281
3/14/67,88.35,-0.000393071
3/15/67,89.19,0.00410961
3/16/67,90.09,0.004360423
3/17/67,90.25,0.000770624
3/20/67,90.2,-0.000240673
3/21/67,90,-0.000964028
3/22/67,90.25,0.001204701
3/23/67,90.94,0.003307739
3/24/67,90.94,0
3/27/67,90.87,-0.000334422
3/28/67,90.91,0.00019113
3/29/67,90.73,-0.000860747
3/30/67,90.7,-0.000143624
3/31/67,90.2,-0.00240075
4/3/67,89.24,-0.004646976
4/4/67,89.22,-9.73427E-05
4/5/67,89.79,0.002765753
4/6/67,89.94,0.000724912
4/7/67,89.36,-0.002809723
4/10/67,88.24,-0.005477661
4/11/67,88.88,0.003138547
4/12/67,88.78,-0.000488905
4/13/67,89.46,0.003313753
